1/1.stdout: different 'Memory Working Set Peak' (ft_run=821.0, ft_reference=69.8, rel.diff=11.76, criterion=4)
1/1.stdout: different 'Memory Working Set Peak' (ft_run=821.0, ft_reference=69.8, rel.diff=11.76, criterion=4)
1/1.stdout: different 'Memory Working Set Peak' (ft_run=821.0, ft_reference=69.8, rel.diff=11.76, criterion=4)
1/1.stdout: different 'Memory Working Set Peak' (ft_run=821.0, ft_reference=73.44, rel.diff=11.18, criterion=4)
1/1.stdout: different 'Memory Working Set Peak' (ft_run=821.0, ft_reference=75.98, rel.diff=10.81, criterion=4)
1/1.stdout: different 'Memory Working Set Peak' (ft_run=821.0, ft_reference=77.27, rel.diff=10.63, criterion=4)
1/1.stdout: different 'Memory Working Set Peak' (ft_run=821.0, ft_reference=77.27, rel.diff=10.63, criterion=4)
1/1.stdout: different 'Memory Working Set Peak' (ft_run=821.0, ft_reference=77.29, rel.diff=10.62, criterion=4)
1/1.stdout: different 'Memory Working Set Peak' (ft_run=821.0, ft_reference=77.29, rel.diff=10.62, criterion=4)
1/1.stdout: different 'Memory Working Set Peak' (ft_run=821.0, ft_reference=77.29, rel.diff=10.62, criterion=4)
1/1.stdout: different 'Memory Working Set Peak' (ft_run=821.0, ft_reference=77.29, rel.diff=10.62, criterion=4)
1/1.stdout: different 'Memory Working Set Peak' (ft_run=821.0, ft_reference=77.29, rel.diff=10.62, criterion=4)
1/1.stdout: different 'Memory Working Set Peak' (ft_run=821.0, ft_reference=77.29, rel.diff=10.62, criterion=4)
